blob_amount_contours,blob_angle,blob_area,blob_centroid_x,blob_centroid_y,blob_width,centroid_bottom_is_empty,centroid_is_empty,centroid_top_is_empty,grid_2_0,grid_2_1,grid_2_2,grid_2_3,grid_2_4,grid_2_5,grid_2_6,grid_2_7,grid_3_0,grid_3_1,grid_3_2,grid_3_3,grid_3_4,grid_3_5,grid_3_6,grid_3_7,grid_4_0,grid_4_1,grid_4_2,grid_4_3,grid_4_4,grid_4_5,grid_4_6,grid_4_7,grid_5_0,grid_5_1,grid_5_2,grid_5_3,grid_5_4,grid_5_5,grid_5_6,grid_5_7,number_of_holes,label
38,90.0,424.0,15.4245283019,15.7574685535,20,1,1,1,5,13,16,16,12,16,15,5,16,11,4,7,0,0,13,16,14,10,0,0,0,0,14,12,1,10,16,13,13,16,12,4,1,0
37,90.0,447.5,15.7333333333,16.043575419,21,1,1,1,2,14,14,8,8,12,11,2,16,11,1,0,0,0,5,16,11,11,0,0,0,0,4,16,1,10,12,3,2,6,13,10,1,0
29,90.0,455.0,16.0091575092,15.2098901099,19,1,1,0,4,16,16,16,16,16,14,7,6,16,7,0,0,2,13,16,16,16,4,0,0,1,15,16,16,16,13,9,8,13,12,4,1,0
36,90.0,438.5,15.2295705055,16.3785632839,20,1,1,0,10,15,13,12,8,12,13,10,14,16,3,0,0,0,4,16,6,15,3,0,0,0,7,16,0,5,14,10,8,8,16,10,1,0
30,90.0,462.5,15.6461261261,16.2551351351,20,0,1,1,10,14,14,11,8,11,15,7,16,10,0,0,0,0,2,16,8,15,6,0,0,0,2,16,0,14,15,9,5,8,14,14,1,0
39,90.0,432.0,15.7496141975,15.9429012346,20,1,1,0,1,11,16,12,8,12,13,2,14,13,2,0,0,0,5,16,16,9,0,0,0,0,8,16,1,11,10,5,4,7,16,5,1,0
34,90.0,425.5,15.910301606,16.151586369,20,1,1,0,3,11,16,16,12,12,11,2,16,14,4,0,0,0,8,12,11,10,0,0,0,0,9,16,1,7,11,7,4,7,16,11,1,0
32,90.0,503.5,15.3707381662,15.2992386627,22,1,1,0,9,16,16,16,14,13,16,11,16,14,8,3,0,0,9,16,16,9,0,0,0,0,12,16,5,15,9,4,6,14,14,3,1,0
38,90.0,387.5,16.3182795699,15.2098924731,20,1,1,0,1,12,16,16,5,8,8,4,16,16,16,16,15,12,16,16,14,16,13,2,0,0,13,14,2,12,16,8,9,15,11,2,1,0
33,90.0,440.5,15.4487325009,16.160045403,20,1,1,1,4,15,12,8,8,11,14,7,16,5,0,0,0,0,10,16,8,13,2,0,0,0,6,16,0,5,13,6,5,10,15,7,1,0
