matrix,blob_area,blob_centroid_x,blob_centroid_y,blob_angle,label
"[[ 0.  1.  0.  0.]
 [ 0.  1.  0.  0.]
 [ 1.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",381.0,14.149606299212598,18.492125984251967,90.0,6
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",439.0,15.206529992406985,14.84738041002278,90.0,8
"[[ 0.  1.  1.  1.]
 [ 0.  1.  1.  0.]
 [ 1.  1.  1.  0.]
 [ 1.  1.  1.  0.]]",443.0,14.833333333333332,15.074115876598945,-79.69515228271484,1
"[[ 0.  1.  1.  1.]
 [ 0.  1.  1.  1.]
 [ 0.  0.  1.  0.]
 [ 0.  1.  1.  0.]]",340.0,18.444117647058825,11.872549019607842,90.0,9
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  0.  1.  1.]
 [ 0.  1.  1.  0.]]",333.5,16.713643178410795,15.48975512243878,81.86989784240723,3
"[[ 0.  1.  1.  1.]
 [ 0.  1.  1.  1.]
 [ 0.  1.  1.  0.]
 [ 0.  0.  1.  0.]]",396.0,18.253367003367003,12.03577441077441,-63.43495178222656,9
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 1.  1.  1.  0.]
 [ 1.  1.  1.  0.]]",371.0,14.493261455525607,18.035489667565137,90.0,4
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  1.  1.  0.]]",385.0,16.826839826839826,15.014718614718614,90.0,9
"[[ 1.  1.  1.  1.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  0.  0.]]",370.5,14.849302744039585,12.370670265407107,90.0,7
"[[ 0.  1.  0.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  0.  0.]
 [ 0.  1.  1.  1.]]",337.5,13.924444444444445,17.183703703703703,83.65980863571167,2
"[[ 0.  1.  1.  0.]
 [ 1.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  1.]]",485.0,16.235395189003434,15.990034364261167,78.69006729125977,8
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",344.0,15.965600775193797,15.464631782945736,85.03025913238525,5
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",381.0,16.796587926509186,13.864391951006123,90.0,7
"[[ 0.  1.  1.  0.]
 [ 1.  1.  1.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  1.  1.  0.]]",386.5,15.38852953859422,13.957309184993532,90.0,5
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  1.]
 [ 0.  1.  1.  0.]]",515.5,16.022955059812478,15.822179114128677,90.0,0
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  1.]]",426.5,15.659241891363813,16.784290738569755,86.63353967666626,8
"[[ 0.  1.  1.  1.]
 [ 0.  1.  1.  0.]
 [ 0.  0.  1.  0.]
 [ 0.  1.  1.  0.]]",384.5,16.154312960554833,14.703077589943648,90.0,5
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  1.]
 [ 1.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",360.5,15.79750346740638,16.51872399445215,-60.945396423339844,4
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  0.  0.]]",345.5,15.60154365653642,14.380125422093583,87.6140558719635,7
"[[ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]
 [ 0.  1.  1.  0.]]",460.5,15.955121245023525,14.463988418385812,90.0,9
